config,material,episode,transfer_efficiency,spill_ratio,n_in_target,n_spilled,total_particles
B_target_closer,sand,1,0.0931712962962963,0.1255787037037037,161,217,1728
B_target_closer,sand,2,0.0943287037037037,0.12384259259259259,163,214,1728
B_target_closer,sand,3,0.09375,0.125,162,216,1728
B_target_closer,snow,1,0.20023148148148148,0.10590277777777778,346,183,1728
B_target_closer,snow,2,0.20023148148148148,0.10590277777777778,346,183,1728
B_target_closer,snow,3,0.20081018518518517,0.10590277777777778,347,183,1728
B_target_closer,elastoplastic,1,0.0,0.05807935595169638,0,101,1739
B_target_closer,elastoplastic,2,0.0,0.05807935595169638,0,101,1739
B_target_closer,elastoplastic,3,0.0,0.05807935595169638,0,101,1739
C_lower_platform,sand,1,0.0,0.0,0,0,1728
C_lower_platform,sand,2,0.0,0.0,0,0,1728
C_lower_platform,sand,3,0.0,0.0,0,0,1728
C_lower_platform,snow,1,0.0,0.0,0,0,1728
C_lower_platform,snow,2,0.0,0.0,0,0,1728
C_lower_platform,snow,3,0.0,0.0,0,0,1728
C_lower_platform,elastoplastic,1,0.0,0.0,0,0,1739
C_lower_platform,elastoplastic,2,0.0,0.0,0,0,1739
C_lower_platform,elastoplastic,3,0.0,0.0,0,0,1739
D_particles_closer,sand,1,0.32233796296296297,0.08680555555555555,557,150,1728
D_particles_closer,sand,2,0.32233796296296297,0.08564814814814815,557,148,1728
D_particles_closer,sand,3,0.32060185185185186,0.08796296296296297,554,152,1728
D_particles_closer,snow,1,0.8732638888888888,0.027199074074074073,1509,47,1728
D_particles_closer,snow,2,0.8726851851851852,0.027777777777777776,1508,48,1728
D_particles_closer,snow,3,0.8726851851851852,0.027777777777777776,1508,48,1728
D_particles_closer,elastoplastic,1,0.6963772282921219,0.3036227717078781,1211,528,1739
D_particles_closer,elastoplastic,2,0.6963772282921219,0.3036227717078781,1211,528,1739
D_particles_closer,elastoplastic,3,0.6963772282921219,0.3036227717078781,1211,528,1739
E_combined,sand,1,0.2743055555555556,0.12962962962962962,474,224,1728
E_combined,sand,2,0.2743055555555556,0.13078703703703703,474,226,1728
E_combined,sand,3,0.27372685185185186,0.13020833333333334,473,225,1728
E_combined,snow,1,0.7974537037037037,0.10300925925925926,1378,178,1728
E_combined,snow,2,0.7962962962962963,0.10416666666666667,1376,180,1728
E_combined,snow,3,0.7957175925925926,0.10474537037037036,1375,181,1728
E_combined,elastoplastic,1,0.24899367452558943,0.7510063254744106,433,1306,1739
E_combined,elastoplastic,2,0.24899367452558943,0.7510063254744106,433,1306,1739
E_combined,elastoplastic,3,0.24899367452558943,0.7510063254744106,433,1306,1739
