material,variant,episode,phase,n_on_tool,n_in_target,transfer_efficiency,spill_ratio
sand,standard,1,after_lift_low,572,0,0.0,0.3329166666666667
sand,standard,1,after_lift_full,0,0,0.0,0.33375
sand,standard,1,traverse_midpoint,0,0,0.0,0.325
sand,standard,1,at_deposit,0,0,0.0,0.32
sand,standard,1,final,0,0,0.0,0.3175
sand,standard,2,after_lift_low,572,0,0.0,0.3329166666666667
sand,standard,2,after_lift_full,0,0,0.0,0.33375
sand,standard,2,traverse_midpoint,0,0,0.0,0.3254166666666667
sand,standard,2,at_deposit,0,0,0.0,0.32083333333333336
sand,standard,2,final,0,0,0.0,0.3175
sand,standard,3,after_lift_low,572,0,0.0,0.3329166666666667
sand,standard,3,after_lift_full,0,0,0.0,0.33375
sand,standard,3,traverse_midpoint,0,0,0.0,0.3254166666666667
sand,standard,3,at_deposit,0,0,0.0,0.32083333333333336
sand,standard,3,final,0,0,0.0,0.3175
sand,slow_traverse,1,after_lift_low,574,0,0.0,0.3329166666666667
sand,slow_traverse,1,traverse_midpoint,0,0,0.0,0.32
sand,slow_traverse,1,at_deposit,0,0,0.0,0.31666666666666665
sand,slow_traverse,1,final,0,0,0.0,0.3154166666666667
sand,slow_traverse,2,after_lift_low,571,0,0.0,0.3329166666666667
sand,slow_traverse,2,traverse_midpoint,0,0,0.0,0.32
sand,slow_traverse,2,at_deposit,0,0,0.0,0.31666666666666665
sand,slow_traverse,2,final,0,0,0.0,0.3154166666666667
sand,slow_traverse,3,after_lift_low,571,0,0.0,0.3329166666666667
sand,slow_traverse,3,traverse_midpoint,0,0,0.0,0.32
sand,slow_traverse,3,at_deposit,0,0,0.0,0.31666666666666665
sand,slow_traverse,3,final,0,0,0.0,0.3154166666666667
sand,low_lift,1,after_lift_low,814,0,0.0,0.32458333333333333
sand,low_lift,1,traverse_midpoint,0,0,0.0,0.31708333333333333
sand,low_lift,1,at_deposit,0,0,0.0,0.3179166666666667
sand,low_lift,1,final,0,0,0.0,0.3120833333333333
sand,low_lift,2,after_lift_low,814,0,0.0,0.32458333333333333
sand,low_lift,2,traverse_midpoint,0,0,0.0,0.31708333333333333
sand,low_lift,2,at_deposit,0,0,0.0,0.3179166666666667
sand,low_lift,2,final,0,0,0.0,0.3120833333333333
sand,low_lift,3,after_lift_low,814,0,0.0,0.32458333333333333
sand,low_lift,3,traverse_midpoint,0,0,0.0,0.31708333333333333
sand,low_lift,3,at_deposit,0,0,0.0,0.3179166666666667
sand,low_lift,3,final,0,0,0.0,0.3120833333333333
sand,tilted_scoop,1,after_lift_low,241,0,0.0,0.2970833333333333
sand,tilted_scoop,1,traverse_midpoint,0,0,0.0,0.35625
sand,tilted_scoop,1,at_deposit,0,4,0.0016666666666666668,0.36791666666666667
sand,tilted_scoop,1,final,0,2,0.0008333333333333334,0.37083333333333335
sand,tilted_scoop,2,after_lift_low,241,0,0.0,0.2970833333333333
sand,tilted_scoop,2,traverse_midpoint,0,0,0.0,0.35625
sand,tilted_scoop,2,at_deposit,0,4,0.0016666666666666668,0.36791666666666667
sand,tilted_scoop,2,final,0,2,0.0008333333333333334,0.37
sand,tilted_scoop,3,after_lift_low,241,0,0.0,0.2966666666666667
sand,tilted_scoop,3,traverse_midpoint,0,0,0.0,0.3566666666666667
sand,tilted_scoop,3,at_deposit,0,4,0.0016666666666666668,0.36875
sand,tilted_scoop,3,final,0,3,0.00125,0.37166666666666665
