material,variant,episode,transfer_efficiency,spill_ratio,n_in_target,n_on_tool,total_particles
elastoplastic,standard,1,0.0,1.0,0,0,2454
elastoplastic,standard,2,0.0,1.0,0,0,2454
elastoplastic,standard,3,0.0,1.0,0,0,2454
elastoplastic,slow_traverse,1,0.0,1.0,0,0,2454
elastoplastic,slow_traverse,2,0.0,1.0,0,0,2454
elastoplastic,slow_traverse,3,0.0,1.0,0,0,2454
elastoplastic,low_lift,1,0.0,0.5517522412387939,0,0,2454
elastoplastic,low_lift,2,0.0,0.5517522412387939,0,0,2454
elastoplastic,low_lift,3,0.0,0.5517522412387939,0,0,2454
elastoplastic,tilted_scoop,1,0.0,0.6817440912795436,0,0,2454
elastoplastic,tilted_scoop,2,0.0,0.6821515892420538,0,0,2454
elastoplastic,tilted_scoop,3,0.0,0.6817440912795436,0,0,2454
